,element,fixture,opponent_team,total_points,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,position,was_home,was_home_True,opponent_difficulty,form
0,3,1,7,2,2022-08-05T19:00:00Z,0,2,1,90,0,0,1,0,0,0,0,1,0,0,0,12,16.6,15.0,2.0,3.4,1,0.00,0.06,0.06,1.21,50,0,48303,0,0,Midfielder,0,0,4,0.0
2,6,1,7,3,2022-08-05T19:00:00Z,0,2,1,90,0,0,1,0,0,0,0,0,0,0,0,17,22.6,12.9,10.0,4.6,1,0.10,0.02,0.12,1.21,50,0,39617,0,0,Midfielder,0,0,4,0.0
3,7,1,7,3,2022-08-05T19:00:00Z,0,2,1,90,0,0,1,0,0,0,0,0,0,0,0,9,3.4,8.3,23.0,3.5,1,0.09,0.06,0.15,1.21,65,0,1133257,0,0,Midfielder,0,0,4,0.0
4,8,1,7,1,2022-08-05T19:00:00Z,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,3,6.0,0.2,0.0,0.6,0,0.00,0.00,0.00,0.00,50,0,105345,0,0,Defender,0,0,4,0.0
5,10,1,7,5,2022-08-05T19:00:00Z,0,2,1,90,0,0,1,0,0,0,0,1,0,0,0,25,31.4,12.0,0.0,4.3,1,0.00,0.03,0.03,1.21,45,0,533085,0,0,Defender,0,0,4,0.0
6,11,1,7,1,2022-08-05T19:00:00Z,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,4,2.2,10.3,0.0,1.3,0,0.00,0.04,0.04,0.00,70,0,67198,0,0,Forward,0,0,4,0.0
8,13,1,7,6,2022-08-05T19:00:00Z,0,2,1,90,0,1,1,0,0,0,0,0,0,0,0,10,1.8,7.6,36.0,4.5,1,0.26,0.11,0.37,1.21,80,0,1772492,0,0,Midfielder,0,0,4,0.0
9,15,1,7,6,2022-08-05T19:00:00Z,0,2,1,90,0,0,1,0,0,0,0,0,0,2,0,25,19.0,0.0,0.0,1.9,1,0.00,0.01,0.01,1.21,50,0,1128297,0,0,Goalkeeper,0,0,4,0.0
10,16,1,7,7,2022-08-05T19:00:00Z,0,2,1,90,0,0,1,0,0,0,0,0,0,0,1,26,24.2,0.6,2.0,2.7,1,0.00,0.01,0.01,1.21,50,0,689975,0,0,Defender,0,0,4,0.0
11,19,1,7,8,2022-08-05T19:00:00Z,0,2,1,90,1,0,1,0,0,0,0,0,0,0,0,23,38.2,15.2,39.0,9.2,1,0.38,0.05,0.43,1.21,60,0,1728741,0,0,Midfielder,0,0,4,0.0
14,28,1,7,2,2022-08-05T19:00:00Z,0,2,1,82,0,0,1,0,0,0,0,0,0,0,0,7,7.4,3.2,38.0,4.9,1,0.15,0.08,0.23,1.21,80,0,6018571,0,0,Forward,0,0,4,0.0
15,313,1,7,12,2022-08-05T19:00:00Z,0,2,1,82,0,1,1,0,0,0,0,0,0,0,3,38,40.0,23.3,21.0,8.4,1,0.03,0.35,0.38,1.21,50,0,1170032,0,0,Defender,0,0,4,0.0
16,18,1,7,1,2022-08-05T19:00:00Z,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,0,19266,0,0,Midfielder,0,0,4,0.0
20,158,1,1,1,2022-08-05T19:00:00Z,0,2,1,15,0,0,0,1,0,0,0,0,0,0,0,3,0.8,1.4,0.0,0.2,0,0.00,0.01,0.01,0.17,45,0,54854,0,0,Midfielder,1,1,2,0.0
21,159,1,1,2,2022-08-05T19:00:00Z,0,2,1,90,0,0,0,2,0,0,0,0,0,0,0,5,16.4,37.3,20.0,7.4,1,0.05,0.02,0.07,1.00,55,0,22658,0,0,Midfielder,1,1,2,0.0
22,161,1,1,2,2022-08-05T19:00:00Z,0,2,1,85,0,0,0,2,0,0,0,0,0,0,0,11,13.4,7.0,32.0,5.2,1,0.24,0.01,0.25,0.92,50,0,16304,0,0,Midfielder,1,1,2,0.0
23,163,1,1,1,2022-08-05T19:00:00Z,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.3,4.0,0.4,0,0.00,0.00,0.00,0.08,50,0,2729,0,0,Midfielder,1,1,2,0.0
25,165,1,1,1,2022-08-05T19:00:00Z,0,2,1,90,0,0,0,2,0,0,0,0,0,0,0,20,37.4,12.2,6.0,5.6,1,0.00,0.14,0.14,1.00,45,0,218564,0,0,Defender,1,1,2,0.0
26,166,1,1,1,2022-08-05T19:00:00Z,0,2,1,57,0,0,0,1,0,0,0,0,0,0,0,-5,3.0,1.5,55.0,6.0,1,0.22,0.00,0.22,0.74,55,0,273605,0,0,Forward,1,1,2,0.0
27,167,1,1,-1,2022-08-05T19:00:00Z,0,2,1,90,0,0,0,2,1,0,0,0,0,0,0,7,16.6,1.4,0.0,1.8,1,0.00,0.01,0.01,1.00,45,0,178083,0,0,Defender,1,1,2,0.0
28,168,1,1,1,2022-08-05T19:00:00Z,0,2,1,32,0,0,0,1,0,0,0,0,0,0,0,2,0.0,11.2,10.0,2.0,0,0.14,0.01,0.15,0.26,55,0,67462,0,0,Forward,1,1,2,0.0
29,169,1,1,2,2022-08-05T19:00:00Z,0,2,1,85,0,0,0,2,0,0,0,0,0,0,0,7,6.8,8.1,21.0,3.6,1,0.49,0.06,0.55,0.92,55,0,74770,0,0,Midfielder,1,1,2,0.0
30,170,1,1,1,2022-08-05T19:00:00Z,0,2,1,90,0,0,0,2,0,0,0,0,0,0,0,11,13.8,1.9,0.0,1.6,1,0.00,0.01,0.01,1.00,45,0,74150,0,0,Defender,1,1,2,0.0
33,514,1,1,2,2022-08-05T19:00:00Z,0,2,1,74,0,0,0,1,0,0,0,0,0,0,0,16,5.8,3.8,0.0,1.0,1,0.00,0.02,0.02,0.83,50,0,9875,0,0,Midfielder,1,1,2,0.0
37,3,11,10,12,2022-08-13T14:00:00Z,4,2,2,90,1,1,0,2,0,0,0,0,0,0,2,35,54.8,25.5,28.0,10.8,1,0.38,0.10,0.48,0.46,50,-629,65418,9001,9630,Midfielder,1,1,4,2.0
39,6,11,10,2,2022-08-13T14:00:00Z,4,2,2,90,0,0,0,2,0,0,0,0,0,0,0,9,5.4,4.8,39.0,4.9,1,0.39,0.02,0.41,0.46,50,4047,61511,12745,8698,Midfielder,1,1,4,3.0
40,7,11,10,2,2022-08-13T14:00:00Z,4,2,2,90,0,0,0,2,0,0,0,0,0,0,0,19,7.6,15.3,12.0,3.5,1,0.03,0.07,0.10,0.46,65,-78957,1175045,58220,137177,Midfielder,1,1,4,3.0
41,8,11,10,1,2022-08-13T14:00:00Z,4,2,2,13,0,0,0,0,0,0,0,0,0,0,0,3,0.6,0.7,0.0,0.1,0,0.00,0.00,0.00,0.16,50,-14780,102375,3078,17858,Defender,1,1,4,1.0
42,10,11,10,1,2022-08-13T14:00:00Z,4,2,2,74,0,0,0,2,0,0,0,0,0,0,0,8,9.8,3.3,0.0,1.3,1,0.00,0.02,0.02,0.30,45,-5992,567751,34000,39992,Defender,1,1,4,5.0
43,11,11,10,1,2022-08-13T14:00:00Z,4,2,2,6,0,0,0,0,0,0,0,0,0,0,0,1,2.2,0.5,17.0,2.0,0,0.04,0.00,0.04,0.13,69,-17931,57718,3918,21849,Forward,1,1,4,1.0
44,12,11,10,1,2022-08-13T14:00:00Z,4,2,2,6,0,0,0,0,0,0,0,0,0,0,0,6,5.0,14.3,0.0,1.9,0,0.00,0.12,0.12,0.13,59,-48857,93669,1122,49979,Midfielder,1,1,4,0.0
45,13,11,10,2,2022-08-13T14:00:00Z,4,2,2,83,0,0,0,2,0,0,0,0,0,0,0,18,13.8,43.9,23.0,8.1,1,0.04,0.29,0.33,0.33,80,-38146,1922750,93462,131608,Midfielder,1,1,4,6.0
46,15,11,10,1,2022-08-13T14:00:00Z,4,2,2,90,0,0,0,2,0,0,0,0,0,1,0,10,11.6,0.0,0.0,1.2,1,0.00,0.00,0.00,0.46,50,31287,1369348,93632,62345,Goalkeeper,1,1,4,6.0
47,16,11,10,1,2022-08-13T14:00:00Z,4,2,2,90,0,0,0,2,0,0,0,0,0,0,0,12,13.2,1.8,6.0,2.1,1,0.05,0.02,0.07,0.46,50,-7155,756694,48645,55800,Defender,1,1,4,7.0
48,19,11,10,8,2022-08-13T14:00:00Z,4,2,2,90,1,0,0,2,0,0,0,0,0,0,1,30,42.4,51.8,15.0,10.9,1,0.05,0.31,0.36,0.46,61,379500,2396763,430548,51048,Midfielder,1,1,4,8.0
51,28,11,10,19,2022-08-13T14:00:00Z,4,2,2,83,2,2,0,2,0,0,0,0,0,0,3,65,98.6,33.7,105.0,23.7,1,1.91,0.05,1.96,0.33,80,-265945,6211795,105825,371770,Forward,1,1,4,2.0
52,313,11,10,1,2022-08-13T14:00:00Z,4,2,2,76,0,0,0,2,0,0,0,0,0,0,0,15,7.4,7.9,12.0,2.7,1,0.08,0.04,0.12,0.30,51,603981,2282170,642617,38636,Defender,1,1,4,12.0
53,272,11,1,-1,2022-08-13T14:00:00Z,4,2,2,90,0,0,0,4,0,0,0,1,0,0,0,7,21.4,1.1,17.0,4.0,1,0.11,0.00,0.11,2.96,45,-2341,154919,12033,14374,Defender,0,0,3,1.0
56,249,11,1,0,2022-08-13T14:00:00Z,4,2,2,90,0,0,0,4,0,0,0,0,0,0,0,13,14.4,0.4,0.0,1.5,1,0.00,0.00,0.00,2.96,45,-726,29893,2019,2745,Defender,0,0,3,1.0
58,254,11,1,1,2022-08-13T14:00:00Z,4,2,2,90,0,0,0,4,0,0,0,0,0,4,0,12,28.0,0.0,0.0,2.8,1,0.00,0.00,0.00,2.96,40,125098,2358777,149823,24725,Goalkeeper,0,0,3,1.0
59,255,11,1,2,2022-08-13T14:00:00Z,4,2,2,69,0,0,0,3,0,0,0,0,0,0,0,10,9.6,12.5,2.0,2.4,1,0.00,0.01,0.01,2.09,95,-52858,402418,16707,69565,Forward,0,0,3,5.0
60,257,11,1,1,2022-08-13T14:00:00Z,4,2,2,62,0,0,0,3,0,0,0,0,0,0,0,13,13.6,1.3,0.0,1.5,1,0.00,0.01,0.01,2.09,45,-647,27409,2545,3192,Defender,0,0,3,1.0
61,258,11,1,0,2022-08-13T14:00:00Z,4,2,2,90,0,0,0,4,0,0,0,0,0,0,0,13,9.4,6.3,0.0,1.6,1,0.00,0.10,0.10,2.96,45,45297,174953,59459,14162,Defender,0,0,3,8.0
62,259,11,1,2,2022-08-13T14:00:00Z,4,2,2,62,0,0,0,3,0,0,0,0,0,0,0,7,1.0,5.0,0.0,0.6,1,0.00,0.01,0.01,2.09,65,-16159,193977,10158,26317,Midfielder,0,0,3,2.0
63,261,11,1,7,2022-08-13T14:00:00Z,4,2,2,90,1,0,0,4,0,0,0,0,0,0,0,27,38.0,17.8,25.0,8.1,1,0.22,0.05,0.27,2.96,80,-22245,416065,27509,49754,Midfielder,0,0,3,5.0
64,262,11,1,4,2022-08-13T14:00:00Z,4,2,2,20,0,1,0,1,0,0,0,0,0,0,0,13,19.2,30.5,8.0,5.8,0,0.03,0.05,0.08,0.86,64,-19281,71410,4237,23518,Forward,0,0,3,0.0
66,265,11,1,2,2022-08-13T14:00:00Z,4,2,2,90,0,0,0,4,0,0,0,0,0,0,0,16,13.6,2.3,0.0,1.6,1,0.00,0.01,0.01,2.96,50,-1156,32682,3574,4730,Midfielder,0,0,3,2.0
67,266,11,1,2,2022-08-13T14:00:00Z,4,2,2,90,0,0,0,4,0,0,0,0,0,0,0,6,1.4,3.3,1.0,0.6,1,0.03,0.01,0.04,2.96,50,72569,179484,89726,17157,Midfielder,0,0,3,10.0
71,271,11,1,1,2022-08-13T14:00:00Z,4,2,2,27,0,0,0,1,0,0,0,0,0,0,0,2,9.0,3.3,20.0,3.2,0,0.07,0.00,0.07,0.86,60,-18403,112697,8046,26449,Forward,0,0,3,1.0
74,549,11,1,1,2022-08-13T14:00:00Z,4,2,2,27,0,0,0,1,0,0,0,0,0,0,0,2,0.0,1.2,0.0,0.1,0,0.00,0.01,0.01,0.86,50,-162,1666,94,256,Midfielder,0,0,3,0.0
76,3,21,3,6,2022-08-20T16:30:00Z,0,3,3,87,0,1,1,0,0,0,0,0,0,0,0,25,25.8,34.0,6.0,6.6,1,0.00,0.11,0.11,0.26,50,112040,216726,137326,25286,Midfielder,0,0,4,7.0
78,6,21,3,3,2022-08-20T16:30:00Z,0,3,3,90,0,0,1,0,0,0,0,0,0,0,0,13,13.2,3.8,0.0,1.7,1,0.00,0.02,0.02,0.28,50,-5523,61170,8704,14227,Midfielder,0,0,4,2.5
79,7,21,3,16,2022-08-20T16:30:00Z,0,3,3,73,2,0,1,0,0,0,0,0,0,0,3,47,67.8,10.0,42.0,12.0,1,0.64,0.05,0.69,0.12,64,-188934,1025266,67382,256316,Midfielder,0,0,4,2.5
80,8,21,3,1,2022-08-20T16:30:00Z,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0.0,0.0,0.1,0,0.00,0.00,0.00,0.02,49,-12863,95230,4859,17722,Defender,0,0,4,1.0
81,10,21,3,7,2022-08-20T16:30:00Z,0,3,3,74,0,0,1,0,0,0,0,0,0,0,1,29,11.0,4.3,2.0,1.7,1,0.00,0.09,0.09,0.12,45,-43654,533476,29194,72848,Defender,0,0,4,3.0
82,11,21,3,1,2022-08-20T16:30:00Z,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,-1,5.4,10.9,17.0,3.3,0,0.08,0.01,0.09,0.17,68,-14362,47543,2722,17084,Forward,0,0,4,1.0
83,12,21,3,1,2022-08-20T16:30:00Z,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,6,7.4,10.7,17.0,3.5,0,0.04,0.03,0.07,0.17,59,-11539,89169,7054,18593,Midfielder,0,0,4,0.5
84,13,21,3,3,2022-08-20T16:30:00Z,0,3,3,87,0,0,1,0,0,0,0,0,0,0,0,12,12.0,29.9,8.0,5.0,1,0.02,0.13,0.15,0.26,80,-310888,1658605,67472,378360,Midfielder,0,0,4,4.0
85,15,21,3,6,2022-08-20T16:30:00Z,0,3,3,90,0,0,1,0,0,0,0,0,0,1,0,20,7.6,0.0,0.0,0.8,1,0.00,0.00,0.00,0.28,50,-61359,1366505,88334,149693,Goalkeeper,0,0,4,3.5
86,16,21,3,7,2022-08-20T16:30:00Z,0,3,3,90,0,0,1,0,0,0,0,0,0,0,1,29,19.8,1.5,4.0,2.5,1,0.10,0.00,0.10,0.28,50,-29099,754827,68563,97662,Defender,0,0,4,4.0
87,19,21,3,6,2022-08-20T16:30:00Z,0,3,3,74,0,1,1,0,0,0,0,0,0,0,0,11,2.0,6.3,30.0,3.8,1,0.36,0.03,0.39,0.12,63,1180060,3788936,1242606,62546,Midfielder,0,0,4,8.0
90,28,21,3,4,2022-08-20T16:30:00Z,0,3,3,90,0,1,1,0,0,0,0,1,0,0,0,15,25.6,23.1,54.0,10.3,1,0.06,0.03,0.09,0.28,81,853585,7496318,882488,28903,Forward,0,0,4,10.5
91,313,21,3,6,2022-08-20T16:30:00Z,0,3,3,90,0,0,1,0,0,0,0,0,0,0,0,27,13.6,12.5,0.0,2.6,1,0.00,0.04,0.04,0.28,52,248945,2667853,434468,185523,Defender,0,0,4,6.5
92,57,21,1,0,2022-08-20T16:30:00Z,0,3,3,90,0,0,0,3,0,0,0,1,0,0,0,13,19.4,30.6,0.0,5.0,1,0.00,0.06,0.06,1.32,45,-1916,15593,663,2579,Defender,1,1,2,2.0
94,62,21,1,2,2022-08-20T16:30:00Z,0,3,3,90,0,0,0,3,0,0,0,0,0,0,0,2,0.0,11.7,16.0,2.7,1,0.04,0.03,0.07,1.32,55,29006,126006,55705,26699,Forward,1,1,2,4.0
95,64,21,1,2,2022-08-20T16:30:00Z,0,3,3,90,0,0,0,3,0,0,0,0,0,0,0,13,8.4,2.3,5.0,1.6,1,0.08,0.01,0.09,1.32,50,-23920,106121,12600,36520,Midfielder,1,1,2,5.0
98,67,21,1,1,2022-08-20T16:30:00Z,0,3,3,45,0,0,0,1,0,0,0,0,0,0,0,2,10.2,1.8,0.0,1.2,0,0.00,0.01,0.01,0.39,50,-462,5332,374,836,Midfielder,1,1,2,1.5
99,69,21,1,1,2022-08-20T16:30:00Z,0,3,3,25,0,0,0,0,0,0,0,0,0,0,0,5,3.8,1.3,0.0,0.5,0,0.00,0.01,0.01,0.16,55,-600,6437,307,907,Midfielder,1,1,2,1.5
100,70,21,1,2,2022-08-20T16:30:00Z,0,3,3,64,0,0,0,3,0,0,0,0,0,0,0,7,13.2,0.5,0.0,1.4,1,0.00,0.00,0.00,1.15,54,-2540,11771,358,2898,Midfielder,1,1,2,1.5
101,71,21,1,1,2022-08-20T16:30:00Z,0,3,3,90,0,0,0,3,0,0,0,0,0,0,0,10,18.0,0.6,17.0,3.6,1,0.03,0.00,0.03,1.32,45,-1762,11282,406,2168,Defender,1,1,2,3.0
102,72,21,1,2,2022-08-20T16:30:00Z,0,3,3,90,0,0,0,3,0,0,0,0,0,3,0,13,26.4,0.0,0.0,2.6,1,0.00,0.00,0.00,1.32,45,-6029,52800,2600,8629,Goalkeeper,1,1,2,3.5
103,73,21,1,1,2022-08-20T16:30:00Z,0,3,3,90,0,0,0,3,0,0,0,0,0,0,0,13,23.0,14.7,0.0,3.8,1,0.00,0.06,0.06,1.32,45,-14221,137690,16429,30650,Defender,1,1,2,6.0
104,75,21,1,1,2022-08-20T16:30:00Z,0,3,3,45,0,0,0,1,0,0,0,0,0,0,0,2,5.0,2.2,0.0,0.7,0,0.00,0.01,0.01,0.39,54,-1252,6891,406,1658,Midfielder,1,1,2,0.0
105,76,21,1,0,2022-08-20T16:30:00Z,0,3,3,90,0,0,0,3,0,0,0,1,0,0,0,3,12.0,5.6,2.0,2.0,1,0.00,0.03,0.03,1.32,45,-4450,13138,302,4752,Defender,1,1,2,3.0
107,535,21,1,2,2022-08-20T16:30:00Z,0,3,3,90,0,0,0,3,0,0,0,0,0,0,0,7,0.0,17.3,7.0,2.4,1,0.12,0.01,0.13,1.32,50,-343,11197,1832,2175,Midfielder,1,1,2,2.5
109,576,21,1,0,2022-08-20T16:30:00Z,0,3,3,45,0,0,0,2,0,0,0,0,0,0,0,3,7.2,0.1,0.0,0.7,1,0.00,0.00,0.00,0.92,45,149,1635,352,203,Defender,1,1,2,1.0
110,18,21,3,1,2022-08-20T16:30:00Z,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.3,0.0,0.0,0,0.00,0.00,0.00,0.02,45,-3226,24783,3055,6281,Midfielder,0,0,4,0.5
113,3,31,9,2,2022-08-27T16:30:00Z,2,1,4,90,0,0,0,1,0,0,0,0,0,0,0,9,8.2,25.0,12.0,4.5,1,0.09,0.07,0.16,0.83,50,42760,267951,77459,34699,Midfielder,1,1,4,6.666666666666667
114,5,31,9,1,2022-08-27T16:30:00Z,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-1795,12198,363,2158,Defender,1,1,4,0.0
116,7,31,9,10,2022-08-27T16:30:00Z,2,1,4,90,1,0,0,1,0,0,0,0,0,0,3,37,58.2,44.2,36.0,13.8,1,0.18,0.46,0.64,0.83,65,243746,1372230,295915,52169,Midfielder,1,1,4,7.0
117,8,31,9,2,2022-08-27T16:30:00Z,2,1,4,60,0,0,0,1,0,0,0,0,0,0,0,11,11.6,15.8,8.0,3.5,1,0.02,0.01,0.03,0.51,49,-14113,85062,2409,16522,Defender,1,1,4,1.0
118,10,31,9,1,2022-08-27T16:30:00Z,2,1,4,90,0,0,0,1,0,0,0,1,0,0,0,10,11.8,3.8,4.0,2.0,1,0.00,0.03,0.03,0.83,45,-11093,534553,31566,42659,Defender,1,1,4,4.333333333333333
119,11,31,9,1,2022-08-27T16:30:00Z,2,1,4,29,0,0,0,0,0,0,0,0,0,0,0,4,7.2,0.7,61.0,6.9,0,0.36,0.01,0.37,0.33,67,-8641,41747,1525,10166,Forward,1,1,4,1.0
121,13,31,9,5,2022-08-27T16:30:00Z,2,1,4,90,0,1,0,1,0,0,0,0,0,0,0,19,28.0,25.4,45.0,9.8,1,0.47,0.11,0.58,0.83,79,-350292,1344008,28075,378367,Midfielder,1,1,4,3.6666666666666665
122,15,31,9,2,2022-08-27T16:30:00Z,2,1,4,90,0,0,0,1,0,0,0,0,0,2,0,12,18.8,0.0,0.0,1.9,1,0.00,0.00,0.00,0.83,50,-12169,1422476,88190,100359,Goalkeeper,1,1,4,4.333333333333333
123,16,31,9,9,2022-08-27T16:30:00Z,2,1,4,90,1,0,0,1,0,0,0,0,0,0,1,27,46.2,12.6,35.0,9.4,1,0.75,0.02,0.77,0.83,50,-20145,759675,41844,61989,Defender,1,1,4,5.0
124,19,31,9,2,2022-08-27T16:30:00Z,2,1,4,90,0,0,0,1,0,0,0,0,0,0,0,20,25.8,59.0,101.0,18.6,1,0.55,0.39,0.94,0.83,64,243247,4084833,372203,128956,Midfielder,1,1,4,7.333333333333333
127,28,31,9,1,2022-08-27T16:30:00Z,2,1,4,88,0,0,0,1,0,0,0,1,0,0,0,0,8.2,27.6,79.0,11.5,1,0.31,0.14,0.45,0.74,82,237640,7962228,268237,30597,Forward,1,1,4,8.333333333333334
131,2,31,1,3,2022-08-27T16:30:00Z,2,1,4,90,0,0,0,2,0,0,0,0,0,6,0,22,46.8,0.0,0.0,4.7,1,0.00,0.00,0.00,2.73,45,-5667,120315,2998,8665,Goalkeeper,0,0,2,0.6666666666666666
133,200,31,1,1,2022-08-27T16:30:00Z,2,1,4,21,0,0,0,1,0,0,0,0,0,0,0,3,0.2,0.8,0.0,0.1,0,0.00,0.00,0.00,1.47,49,-815,5711,204,1019,Midfielder,0,0,2,1.0
134,201,31,1,1,2022-08-27T16:30:00Z,2,1,4,87,0,0,0,2,0,0,0,0,0,0,0,16,26.0,0.1,0.0,2.6,1,0.00,0.00,0.00,2.73,45,-1639,10828,449,2088,Defender,0,0,2,2.6666666666666665
135,204,31,1,2,2022-08-27T16:30:00Z,2,1,4,68,0,0,0,1,0,0,0,0,0,0,0,8,9.4,24.4,4.0,3.8,1,0.00,0.08,0.08,1.26,55,-4242,6236,53,4295,Midfielder,0,0,2,1.6666666666666667
136,205,31,1,1,2022-08-27T16:30:00Z,2,1,4,90,0,0,0,2,0,0,0,1,0,0,0,5,15.4,14.7,60.0,9.0,1,0.41,0.03,0.44,2.73,55,1196,8087,2143,947,Midfielder,0,0,2,4.0
137,209,31,1,1,2022-08-27T16:30:00Z,2,1,4,90,0,0,0,2,0,0,0,0,0,0,0,11,22.6,0.2,0.0,2.3,1,0.00,0.00,0.00,2.73,45,-1052,8547,208,1260,Defender,0,0,2,2.6666666666666665
138,211,31,1,2,2022-08-27T16:30:00Z,2,1,4,90,0,0,0,2,0,0,0,0,0,0,0,11,8.2,25.2,0.0,3.3,1,0.00,0.04,0.04,2.73,45,-3872,108116,15870,19742,Midfielder,0,0,2,2.0
141,215,31,1,2,2022-08-27T16:30:00Z,2,1,4,78,0,0,0,1,0,0,0,0,0,0,0,7,21.4,0.7,0.0,2.2,1,0.00,0.00,0.00,1.46,45,-7499,32881,1763,9262,Defender,0,0,2,3.0
142,217,31,1,0,2022-08-27T16:30:00Z,2,1,4,90,0,0,0,2,0,0,0,1,0,0,0,17,31.8,4.8,0.0,3.7,1,0.00,0.03,0.03,2.73,45,-1660,15791,792,2452,Defender,0,0,2,2.6666666666666665
143,220,31,1,1,2022-08-27T16:30:00Z,2,1,4,87,0,0,0,2,0,0,0,1,0,0,0,4,11.8,0.1,4.0,1.6,1,0.06,0.00,0.06,2.73,50,2927,29751,7074,4147,Midfielder,0,0,2,3.3333333333333335
144,346,31,1,2,2022-08-27T16:30:00Z,2,1,4,78,0,0,0,1,0,0,0,0,0,0,0,3,4.0,42.5,1.0,4.8,1,0.05,0.18,0.23,1.46,45,77051,2238724,192531,115480,Midfielder,0,0,2,4.333333333333333
145,470,31,1,1,2022-08-27T16:30:00Z,2,1,4,11,0,0,0,1,0,0,0,0,0,0,0,4,7.2,0.0,0.0,0.7,0,0.00,0.00,0.00,1.27,44,-1569,13896,264,1833,Defender,0,0,2,0.0
149,3,41,2,2,2022-08-31T18:30:00Z,2,1,5,90,0,0,0,1,0,0,0,0,0,0,0,14,12.6,25.0,8.0,4.6,1,0.00,0.04,0.04,0.45,50,10781,288460,49435,38654,Midfielder,1,1,4,5.5
150,5,41,2,1,2022-08-31T18:30:00Z,2,1,5,2,0,0,0,0,0,0,0,0,0,0,0,5,2.2,0.0,0.0,0.2,0,0.00,0.00,0.00,0.00,43,-648,12085,461,1109,Defender,1,1,4,0.25
152,7,41,2,1,2022-08-31T18:30:00Z,2,1,5,80,0,0,0,1,0,0,0,1,0,0,0,12,13.0,37.8,47.0,9.8,1,0.46,0.22,0.68,0.45,66,558793,2044513,598888,40095,Midfielder,1,1,4,7.75
153,8,41,2,2,2022-08-31T18:30:00Z,2,1,5,90,0,0,0,1,0,0,0,0,0,0,0,8,11.0,3.1,21.0,3.5,1,0.20,0.04,0.24,0.45,49,2023,91991,9526,7503,Defender,1,1,4,1.25
154,10,41,2,8,2022-08-31T18:30:00Z,2,1,5,64,0,0,1,0,0,0,0,0,0,0,2,29,5.4,13.5,2.0,2.1,1,0.00,0.28,0.28,0.20,45,-22463,518671,22981,45444,Defender,1,1,4,3.5
155,11,41,2,1,2022-08-31T18:30:00Z,2,1,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.4,5.0,0.3,0,0.05,0.00,0.05,0.00,67,-3885,40171,1594,5479,Forward,1,1,4,1.0
156,12,41,2,1,2022-08-31T18:30:00Z,2,1,5,9,0,0,0,0,0,0,0,0,0,0,0,4,3.4,10.9,0.0,1.4,0,0.00,0.03,0.03,0.00,58,-10373,70354,2997,13370,Midfielder,1,1,4,0.5
157,13,41,2,5,2022-08-31T18:30:00Z,2,1,5,87,0,1,0,1,0,0,0,0,0,0,0,19,24.6,42.7,49.0,11.6,1,0.45,0.34,0.79,0.45,79,-182936,1189232,22544,205480,Midfielder,1,1,4,4.0
158,15,41,2,2,2022-08-31T18:30:00Z,2,1,5,90,0,0,0,1,0,0,0,0,0,2,0,13,17.4,0.0,0.0,1.7,1,0.00,0.00,0.00,0.45,50,-53340,1407588,48276,101616,Goalkeeper,1,1,4,3.75
159,16,41,2,2,2022-08-31T18:30:00Z,2,1,5,90,0,0,0,1,0,0,0,0,0,0,0,16,17.4,1.3,69.0,8.8,1,0.31,0.01,0.32,0.45,50,176657,994950,213104,36447,Defender,1,1,4,6.0
160,19,41,2,10,2022-08-31T18:30:00Z,2,1,5,90,1,0,0,1,0,0,0,0,0,0,3,34,44.0,30.7,69.0,14.4,1,0.20,0.40,0.60,0.45,64,-151656,3952017,117275,268931,Midfielder,1,1,4,6.0
163,28,41,2,6,2022-08-31T18:30:00Z,2,1,5,87,1,0,0,1,0,0,0,0,0,0,0,19,37.8,12.3,92.0,14.2,1,0.90,0.09,0.99,0.45,82,-70519,8026017,106179,176698,Forward,1,1,4,6.5
165,29,41,1,1,2022-08-31T18:30:00Z,2,1,5,17,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1.9,2.0,0.3,0,0.00,0.00,0.00,0.17,68,-73491,483387,8313,81804,Midfielder,0,0,2,1.5
166,31,41,1,3,2022-08-31T18:30:00Z,2,1,5,90,0,0,0,2,0,0,0,0,0,6,0,18,34.4,0.0,0.0,3.4,1,0.00,0.00,0.00,2.56,50,-53369,477967,9246,62615,Goalkeeper,0,0,2,4.0
